id,call_sign,code,name,country_name
1,MILE-AIR,Q5,40-Mile Air,United States
2,ABC Aerolineas,4O,Interjet,Mexico
3,PASCAN,P6,Pascan Aviation,Canada
4,DEVIL,WP,Air Antwerp,Belgium
5,ISLANDWAYS,JY,InterCaribbean Airways,Turks and Caicos Islands
6,AIR SERBIA,JU,Air Serbia,Serbia
7,ALTYN AVIA,QH,Air Kyrgyzstan,Kyrgyzstan
8,CORSICA,XK,Air Corsica,France
9,SHAMROCK,EI,Aer Lingus,Ireland
10,PEARL,A8,Aerolink Uganda,Uganda
11,ROUGE,RV,Air Canada Rouge,Canada
12,AZTEC WORLD,7A,Aztec Worldwide Airlines,United States
13,ABG,W9,Abelag Aviation,Belgium
14,LOADMASTER,6U,Air Cargo Germany,Germany
15,AERO ASIA,E4,Aero Asia International,Pakistan
16,AIGLE AZUR,ZI,Aigle Azur,France
17,ASIANA,OZ,Asiana Airlines,South Korea
18,AL-ASS,4K*,Askari Aviation,Pakistan
19,AFRIQIYAH,8U,Afriqiyah Airways,Libya
20,AFRINAT,Q9,Afrinat International Airlines,Gambia
21,ATLANTIC,KI,Air Atlantique,United Kingdom
22,AIR ALMA,QB,Air Alma,Canada
23,AIR HONG KONG,LD,Air Hong Kong,Hong Kong
24,EUROPA,UX,Air Europa,Spain
25,AIR ITALY,IG,Air Italy,Italy
26,AIR Macau,NX,Air Macau,Macau
27,AIR MIDWEST,ZV,Air Midwest,United States
28,SEYCHELLES,HM,Air Seychelles,Seychelles
29,AIRFRANS,AF,Air France,France
30,AIRCALIN,SB,Air Caledonie International,France
31,ALFA WING,EH,Air Nippon Network Co. Ltd.,Japan
32,WISCONSIN,ZW,Air Wisconsin,United States
33,GOLF NOVEMBER,GN,Air Gabon,Gabon
34,AIR JAPAN,NQ,Air Japan,Japan
35,AIR LIBERTE,VD,Air Libert,France
36,KAUNAS,TT,Air Lithuania,Lithuania
37,AIR NORTH,4N,Air North Chartery- Canada,Canada
38,NEW ZEALAND,NZ,Air New Zealand,New Zealand
39,MALAWI,QM,Air Malawi,Malawi
40,MEDITERRANEE,ML,Air Mediterranee,France
41,MEKONG,P8,Air Mekong,Vietnam
42,AIRCOACH,ZX,Air BC,Canada
43,AIR GLACIERS,7T,Air Glaciers,Switzerland
44,AIR VEGAS,6V,Air Vegas,United States
45,ALL NIPPON,NH,All Nippon Airways,Japan
46,TWINGOOSE,TZ,air-taxi Europe,Germany
47,NIGHT CARGO,2Q,Air Cargo Carriers,United States
48,AIR SENEGAL,V7,Air Senegal International,Senegal
49,AIR BERLIN,AB,Air Berlin,Germany
50,AIR SINAI,4D,Air Sinai,Egypt
51,AIR ARMENIA,QN,Air Armenia,Armenia
52,AIRINDIA,AI,Air IndiayLimited,India
