id,code,name,city_code
1,00A,Total Rf Heliport,US-PA
2,00AA,Aero B Ranch Airport,US-KS
3,00AK,Lowell Field,US-AK
4,00AL,Epps Airpark,US-AL
5,00AR,Newport Hospital & Clinic Heliport,US-AR
6,00AS,Fulton Airport,US-OK
7,00AZ,Cordes Airport,US-AZ
8,00CA,Goldstone /Gts/ Airport,US-CA
9,00CL,Williams Ag Airport,US-CA
10,00CN,Kitchen Creek Helibase Heliport,US-CA
11,00CO,Cass Field,US-CO
12,00FA,Grass Patch Airport,US-FL
13,00FD,Ringhaver Heliport,US-FL
14,00FL,River Oak Airport,US-FL
15,00GA,Lt World Airport,US-GA
16,00GE,Caffrey Heliport,US-GA
17,00HI,Kaupulehu Heliport,US-HI
18,00ID,Delta Shores Airport,US-ID
19,00IG,Goltl Airport,US-KS
20,00II,Bailey Generation Station Heliport,US-IN
21,00IL,Hammer Airport,US-IL
22,00IN,St Mary Medical Center Heliport,US-IN
23,00IS,Hayenga's Cant Find Farms Airport,US-IL
24,00KS,Hayden Farm Airport,US-KS
25,00KY,Robbins Roost Airport,US-KY
26,00LA,Shell Chemical East Site Heliport,US-LA
27,00LL,Ac & R Components Heliport,US-IL
28,00LS,Lejeune Airport,US-LA
29,00MD,Slater Field,US-MD
30,00MI,Dow Chemical Heliport,US-MI
31,00MN,Battle Lake Municipal Airport,US-MN
32,00MO,Cooper Flying Service Airport,US-MO
33,00MT,Sands Ranch Airport,US-MT
34,00N,Bucks Airport,US-NJ
35,00NC,North Raleigh Airport,US-NC
36,00NJ,Colgate-Piscataway Heliport,US-NJ
37,00NK,Cliche Cove Seaplane Base,US-NY
38,00NY,Weiss Airfield,US-NY
39,00OH,Exit 3 Airport,US-OH
40,00OI,Miami Valley Hospital Heliport,US-OH
41,00OK,Gull Bay Landing Airport,US-OK
42,00OR,Steel Systems Heliport,US-OR
43,00PA,R J D Heliport,US-PA
44,00PN,Ferrell Field,US-PA
45,00PS,Thomas Field,US-PA
46,00S,Mc Kenzie Bridge State Airport,US-OR
47,00SC,Flying O Airport,US-SC
48,00SD,Homan Field,US-SD
49,00TA,Sw Region Faa Heliport,US-TX
50,00TE,Tcjc-Northeast Campus Heliport,US-TX
51,00TN,Ragsdale Road Airport,US-TN
52,00TS,Alpine Range Airport,US-TX
53,00TX,San Jacinto Methodist Hospital Heliport,US-TX
54,00UT,Clear Creek Ranch Airport,US-UT
55,00VA,Vaughan Airport,US-VA
56,00VI,Groundhog Mountain Airport,US-VA
57,00W,Lower Granite State Airport,US-WA
58,00WA,Howell Airport,US-WA
59,00WI,Northern Lite Airport,US-WI
60,00WN,Hawks Run Airport,US-WA
61,00WV,Lazy J. Aerodrome,US-WV
62,00WY,Mountain View Regional Hospital Heliport,US-WY
63,00XS,L P Askew Farms Airport,US-TX
64,01A,Purkeypile Airport,US-AK
65,01AK,Providence Seward Medical Center Heliport,US-AK
66,01AL,Ware Island Airport,US-AL
67,01AR,Community Hospital of De Queen Heliport,US-AR
68,01AZ,Yat Heliport,US-AZ
69,01C,Grant Airport,US-MI
70,01CA,Lugo Substation Heliport,US-CA
71,01CL,Swansboro Country Airport,US-CA
72,01CN,Los Angeles County Sheriff's Department Heliport,US-CA
73,01CO,St Vincent General Hospital Heliport,US-CO
74,01CT,Berlin Fairgrounds Heliport,US-CT
75,01FA,Rybolt Ranch Airport,US-FL
76,01FD,Advent Health Altamonte Springs Heliport,US-FL
77,01FL,Cedar Knoll Flying Ranch Airport,US-FL
78,01GA,Medical Center Heliport,US-GA
79,01GE,The Farm Airport,US-GA
80,01IA,Stender Airport,US-IA
81,01ID,Lava Hot Springs Airport,US-ID
82,01II,Myers Field,US-IN
83,01IL,Hoopeston Community Memorial Hospital Heliport,US-IL
84,01IN,Community Hospital Heliport,US-IN
85,01IS,William E. Koenig Airport,US-IL
86,01J,Hilliard Airpark,US-FL
87,01K,Caldwell Municipal Airport,US-KS
88,01KS,Flying N Ranch Airport,US-KS
89,01KY,Lourdes Hospital Heliport,US-KY
90,01LA,Barham Airport,US-LA
91,01LL,Schumaier Restricted Landing Area,US-IL
92,01LS,Country Breeze Airport,US-LA
93,01MA,Compaq Andover Heliport,US-MA
94,01MD,Annapolis Seaplane Base,US-MD
95,01ME,Saint Peter's Seaplane Base,US-ME
96,01MI,Flow Through Terminal Heliport,US-MI
97,01MN,Barnes Seaplane Base,US-MN
98,01MO,Highway Patrol Troop C Headquarters Heliport,US-MO
99,01MT,Crystal Lakes Resort Airport,US-MT
100,01NC,Topsail Airpark,US-NC
101,01NE,Detour Airport,US-NE
102,01NH,Moore Airfield,US-NH
103,01NJ,Albert Guido Memorial Heliport,US-NJ
104,01NM,Champion Ranch Airport,US-NM
105,01NV,Lantana Ranch Airport,US-NV
106,01NY,Vassar Hospital Heliport,US-NY
107,01OI,Galion Community Hospital Heliport,US-OH
108,01OK,Lawrence Airport,US-OK
109,01OR,Red & White Flying Service Airport,US-OR
110,01PA,Pine Heliport,US-PA
111,01PN,Bierly(Personal Use) Airport,US-PA
112,01PS,Nort's Resort Airport,US-PA
113,01SC,York Airport,US-SC
114,01TA,Thirty Thirty Matlock Office Center Heliport,US-TX
115,01TE,Smith Field,US-TX
116,01TN,Colonial Air Park,US-TN
117,01TS,St Joseph Hospital Heliport,US-TX
118,01TX,Mims Farm Ultralightport,US-TX
119,01U,Duckwater Airport,US-NV
120,01UT,La Sal Junction Airport,US-UT
121,01VA,Pickles Airport,US-VA
122,01WA,Willapa Harbor Heliport,US-WA
123,01WI,Prehn Cranberry Company Airport,US-WI
124,01WN,Whidbey General Hospital Heliport,US-WA
125,01WT,Odyssey Heliport,US-WA
126,01WY,Keyhole Airport,US-WY
127,01XA,Seton Medical Center Hays Heliport,US-TX
128,01XS,Meadowood Ranch Heliport,US-TX
129,02AK,Rustic Wilderness Airport,US-AK
130,02AL,Bass Field,US-AL
131,02AR,Three Rivers Airport,US-AR
132,02AZ,Winchester Farm Airstrip,US-AZ
133,02CA,Swepi Beta Platform Ellen Heliport,US-CA
134,02CD,Shannon Field,US-MS
135,02CL,Conover Air Lodge Airport,US-CA
136,02CO,Mc Cullough Airport,US-CO
137,02CT,Strangers Point Heliport,US-CT
138,02FA,Osborn Airfield,US-FL
139,02FL,Cuchens Airport,US-FL
140,02GA,Doug Bolton Field,US-GA
141,02GE,Etowah Fields Airport,US-GA
142,02HI,K3 Helipad Heliport,US-HI
