id,code,name,country_code
1,AD-02,Canillo,AD
2,AD-03,Encamp,AD
3,AD-04,La Massana,AD
4,AD-05,Ordino,AD
5,AD-06,Sant Julià de Lòria,AD
6,AD-07,Andorra la Vella,AD
7,AD-08,Escaldes-Engordany,AD
8,AE-AJ,Ajman Emirate,AE
9,AE-AZ,Abu Dhabi Emirate,AE
10,AE-DU,Dubai Emirate,AE
11,AE-FU,Fujairah Emirate,AE
12,AE-RK,Ras al-Khaimah Emirate,AE
13,AE-SH,Sharjah Emirate,AE
14,AE-UQ,Umm al-Quwain Emirate,AE
15,AF-BAL,Balkh Province,AF
16,AF-BAM,Bamiyan Province,AF
17,AF-BDG,Badghis Province,AF
18,AF-BDS,Badakhshan Province,AF
19,AF-BGL,Baghlan Province,AF
20,AF-DAY,Daykundi Province,AF
21,AF-FRA,Farah Province,AF
22,AF-FYB,Faryab Province,AF
23,AF-GHA,Ghazni Province,AF
24,AF-GHO,Ghōr Province,AF
25,AF-HEL,Helmand Province,AF
26,AF-HER,Herat Province,AF
27,AF-JOW,Jowzjan Province,AF
28,AF-KAB,Kabul Province,AF
29,AF-KAN,Kandahar Province,AF
30,AF-KAP,Kapisa Province,AF
31,AF-KDZ,Kunduz Province,AF
32,AF-KHO,Khost Province,AF
33,AF-KNR,Kunar Province,AF
34,AF-LAG,Laghman Province,AF
35,AF-LOW,Logar Province,AF
36,AF-NAN,Nangarhar Province,AF
37,AF-NIM,Nimruz Province,AF
38,AF-NUR,Nurestan Province,AF
39,AF-ORU,Orūzgān Province,AF
40,AF-PAN,Panjshir Province,AF
41,AF-PAR,Parwan Province,AF
42,AF-PIA,Paktia Province,AF
43,AF-PKA,Paktika Province,AF
44,AF-SAM,Samangan Province,AF
45,AF-SAR,Sar-e Pol Province,AF
46,AF-TAK,Takhar Province,AF
47,AF-WAR,Wardak Province,AF
48,AF-ZAB,Zabul Province,AF
49,AG-03,Saint George,AG
50,AG-04,Saint John,AG
51,AG-05,Saint Mary,AG
52,AG-06,Saint Paul,AG
53,AG-07,Saint Peter,AG
54,AG-08,Saint Philip,AG
55,AG-10,Barbuda,AG
56,AL-01,Berat County,AL
57,AL-02,Durrës County,AL
58,AL-03,Elbasan County,AL
59,AL-04,Fier County,AL
60,AL-05,Gjirokastër County,AL
61,AL-06,Korçë County,AL
62,AL-07,Kukës County,AL
63,AL-08,Lezhë County,AL
64,AL-09,Dibër County,AL
65,AL-10,Shkodër County,AL
66,AL-11,Tirana County,AL
67,AL-12,Vlorë County,AL
68,AM-AG,Aragatsotn Province,AM
69,AM-AR,Ararat Province,AM
70,AM-AV,Armavir Province,AM
71,AM-ER,Yerevan (capital district),AM
72,AM-GR,Gegharkunik Province,AM
73,AM-KT,Kotayk Province,AM
74,AM-LO,Lori Province,AM
75,AM-SH,Shirak Province,AM
76,AM-SU,Syunik Province,AM
77,AM-TV,Tavush Province,AM
78,AM-VD,Vayots Dzor Province,AM
79,AO-BGO,Bengo Province,AO
80,AO-BGU,Benguela Province,AO
81,AO-BIE,Bié Province,AO
82,AO-CAB,Cabinda Province,AO
83,AO-CCU,Cuando Cubango Province,AO
84,AO-CNN,Cunene Province,AO
85,AO-CNO,Cuanza Norte Province,AO
86,AO-CUS,Cuanza Sul Province,AO
87,AO-HUA,Huambo Province,AO
88,AO-HUI,Huíla Province,AO
89,AO-LNO,Lunda Norte Province,AO
90,AO-LSU,Lunda Sul Province,AO
